2025;Января;1;0;растущая 2%;09:45 - 17:13
2024;Января;1;0;убывающая 76%;09:45 - 17:12
2023;Января;1;0;растущая 72%;09:45 - 17:12
2022;Января;1;0;убывающая 3%;09:45 - 17:12
2021;Января;1;0;убывающая 95%;09:45 - 17:13
2020;Января;1;0;растущая 32%;09:45 - 17:12
2019;Января;1;0;убывающая 21%;09:45 - 17:12
2018;Января;1;0;растущая 99%;09:45 - 17:12
2025;Января;2;0;растущая 6%;09:45 - 17:14
2024;Января;2;0;убывающая 67%;09:45 - 17:13
2023;Января;2;0;растущая 81%;09:45 - 17:13
2022;Января;2;0;убывающая 0%;09:45 - 17:13
2021;Января;2;0;убывающая 90%;09:45 - 17:14
2020;Января;2;0;растущая 42%;09:45 - 17:13
2019;Января;2;0;убывающая 13%;09:45 - 17:13
2018;Января;2;0;полнолуние 07:25;09:45 - 17:13
2025;Января;3;0;растущая 13%;09:45 - 17:15
2024;Января;3;0;убывающая 58%;09:45 - 17:14
2023;Января;3;0;растущая 88%;09:45 - 17:14
2022;Января;3;0;растущая 0%;09:45 - 17:15
2021;Января;3;0;убывающая 82%;09:45 - 17:15
2020;Января;3;0;растущая 51%;09:45 - 17:14
2019;Января;3;0;убывающая 7%;09:45 - 17:14
2018;Января;3;0;убывающая 98%;09:45 - 17:15
2025;Января;4;0;растущая 21%;09:44 - 17:16
2024;Января;4;0;убывающая 49%;09:44 - 17:15
2023;Января;4;0;растущая 94%;09:44 - 17:15
2022;Января;4;0;растущая 3%;09:44 - 17:16
2021;Января;4;0;убывающая 73%;09:44 - 17:16
2020;Января;4;0;растущая 60%;09:44 - 17:15
2019;Января;4;0;убывающая 3%;09:44 - 17:15
2018;Января;4;0;убывающая 93%;09:44 - 17:16
2025;Января;5;0;растущая 31%;09:44 - 17:17
2024;Января;5;0;убывающая 39%;09:44 - 17:16
2023;Января;5;0;растущая 97%;09:44 - 17:17
2022;Января;5;0;растущая 9%;09:44 - 17:17
2021;Января;5;0;убывающая 62%;09:44 - 17:17
2020;Января;5;0;растущая 70%;09:44 - 17:16
2019;Января;5;0;убывающая 1%;09:44 - 17:17
2018;Января;5;0;убывающая 86%;09:44 - 17:17
2025;Января;6;0;растущая 42%;09:43 - 17:19
2024;Января;6;0;убывающая 30%;09:44 - 17:18
2023;Января;6;0;растущая 100%;09:44 - 17:18
2022;Января;6;0;растущая 17%;09:44 - 17:18
2021;Января;6;0;убывающая 51%;09:43 - 17:19
2020;Января;6;0;растущая 78%;09:44 - 17:18
2019;Января;6;0;новолуние 06:29;09:44 - 17:18
2018;Января;6;0;убывающая 77%;09:44 - 17:18
2025;Января;7;0;растущая 53%;09:43 - 17:20
2024;Января;7;0;убывающая 21%;09:43 - 17:19
2023;Января;7;0;полнолуние 04:09;09:43 - 17:19
2022;Января;7;0;растущая 25%;09:43 - 17:20
2021;Января;7;0;убывающая 40%;09:43 - 17:20
2020;Января;7;0;растущая 86%;09:43 - 17:19
2019;Января;7;0;растущая 1%;09:43 - 17:19
2018;Января;7;0;убывающая 67%;09:43 - 17:20
2025;Января;8;0;растущая 65%;09:42 - 17:21
2024;Января;8;0;убывающая 13%;09:43 - 17:20
2023;Января;8;0;убывающая 98%;09:43 - 17:21
2022;Января;8;0;растущая 35%;09:43 - 17:21
2021;Января;8;0;убывающая 29%;09:42 - 17:21
2020;Января;8;0;растущая 92%;09:43 - 17:20
2019;Января;8;0;растущая 4%;09:43 - 17:21
2018;Января;8;0;убывающая 57%;09:43 - 17:21
2025;Января;9;0;растущая 75%;09:42 - 17:23
2024;Января;9;0;убывающая 6%;09:42 - 17:22
2023;Января;9;0;убывающая 95%;09:42 - 17:22
